Player,Round ID,Date,Course,Weather Difficulty,Course Difficulty,Tournament,Benchmark,Shot,Hole,Score,Starting Distance,Starting Location,Ending Distance,Ending Location,Penalty,Starting SG,Ending SG,Strokes Gained
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,4,11,46,22,Green,2,Green,No,1.92,1.04,-0.12
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,5,11,47,2,Green,0,Green,No,1.04,0.00,0.04
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,1,12,48,320,Tee,110,Rough,No,3.98,3.17,-0.19
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,2,12,49,110,Rough,17,Green,No,3.17,1.83,0.34
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,3,12,50,17,Green,1,Green,No,1.83,1.02,-0.19
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,4,12,51,1,Green,0,Green,No,1.02,0.00,0.02
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,1,13,52,440,Tee,120,Sand,No,4.33,3.36,-0.03
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,2,13,53,120,Sand,50,Fairway,No,3.36,2.70,-0.34
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,3,13,54,50,Fairway,20,Green,No,2.70,1.90,-0.20
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,4,13,55,20,Green,2,Green,No,1.90,1.04,-0.14
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,5,13,56,2,Green,0,Green,No,1.04,0.00,0.04
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,1,14,57,178,Tee,21,Green,No,3.15,1.91,0.24
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,2,14,58,21,Green,2,Green,No,1.91,1.04,-0.13
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,3,14,59,2,Green,0,Green,No,1.04,0.00,0.04
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,1,15,60,450,Tee,189,Fairway,No,4.38,3.30,0.08
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,2,15,61,189,Fairway,29,Fairway,No,3.30,2.53,-0.23
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,3,15,62,29,Fairway,4,Fairway,No,2.53,1.75,-0.22
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,4,15,63,4,Fairway,1,Fairway,No,1.75,1.11,-0.36
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,5,15,64,1,Fairway,0,Fairway,No,1.11,0.00,0.11
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,1,16,65,175,Tee,14,Green,No,3.15,1.76,0.39
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,2,16,66,14,Green,1,Green,No,1.76,1.02,-0.26
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,3,16,67,1,Green,0,Green,No,1.02,0.00,0.02
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,1,17,69,410,Tee,139,Rough,Yes,4.25,3.30,-1.05
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,2,17,70,139,Rough,21,Rough,No,3.30,2.62,-0.32
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,3,17,71,21,Rough,5,Green,No,2.62,1.23,0.39
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,4,17,72,5,Green,0,Green,No,1.23,0.00,0.23
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,1,18,73,560,Tee,280,Fairway,No,5.08,3.93,0.15
Adam,R1769823554309,2026-01-31,Skybrook,Cold,Standard,Practice,Scratch Golfer,2,18,74,280,Fairway,50,Fairway,No,3.93,2.70,0.23
